word,sentiment
Господь,0.5
Христовий,0.5
аборт,-0.7832
абсурд,-0.5
абсурдний,-0.9
абсурдно,-0.5
аварійний,-1.0
аварія,-1.0
авіаудар,-1.0
автентичний,0.5
автомат,-0.1094
автоматний,0.11699999999999999
авторитетний,1.0
агітка,-0.5
агонія,-1.0
агресія,-1.0
агресивний,-1.0
адаптований,0.5
адекватний,1.0
адекватно,0.5
ажурний,0.5
акторський,0.3136
акуратний,1.0
алкаш,-1.0
алкоголізм,-0.9828
алогічний,-0.3585
альтруїстичний,0.5
амбітний,0.5
амбіція,0.4727
амністія,0.5
аморальний,-1.0
аморфний,-0.5
ангельський,0.5
аномальний,-0.5429999999999999
анти,-0.5
антиамериканський,-0.5
антигромадський,-0.5
антигуманний,-0.5
антидержавний,-1.0
антиконституційний,-0.5
антинаркотичний,0.5
антинародний,-0.5
антинауковий,-0.7018
антирадянський,-0.5
антисанітарний,-0.5
антисеміт,-0.5
антисемітський,-1.0
антисоціальний,-0.5
антитерористичний,0.5
антиутопія,-0.5
антихристиянський,-0.5
апатичний,-1.0
апетитний,1.0
аплодисменти,0.5
апокаліптичний,-0.5
арешт,-1.0
арматура,-1.0
аромат,0.6818
артилерист,0.0663
артистичний,0.9643
асоціальний,-1.0
атакувати,-0.6538
афганський,0.0
ахінея,-0.9
багатий,0.75
багатовимірний,0.3077
багатогранний,0.5
багатодітний,0.3793
багатомільйонний,0.1
багатообіцяючий,0.9495
багатофункціональність,1.0
багно,-1.0
бадьорий,1.0
бажаний,0.7832
байдуже,-0.5
байдужість,-0.5965
байдужий,-0.5611
балаканина,-0.4535
балакучий,-0.5952
балалайка,-0.5
балувати,0.0945
банальність,-0.4344
банально,-0.5
банда,-0.8514
бандит,-1.0
бандитський,-1.0
бандформування,-0.5
бандюга,-1.0
бандюк,-1.0
банкрут,-1.0
банкрутство,-0.5
барвистий,0.9828
бароко,0.5
бароковий,0.5
батьківський,0.5870000000000001
безальтернативний,-0.5
безбожний,-0.5
безвідповідальність,-1.0
безвідповідальний,-0.5
безвинний,-1.0
безвихідний,-1.0
безвихідь,-0.5
безвольний,-0.5
безглуздість,-0.7162
безглуздий,-0.9118
безглуздо,-0.5
безгрішний,0.5
безгрошовий,-1.0
бездарність,-1.0
бездарний,-1.0
бездіяльність,-0.5
бездіяти,-0.5
бездоганний,1.0
бездоганно,1.0
